Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
I3EN 24xlarge,i3en.24xlarge,96 vCPUs,768.0 GiB,I3EN,100 Gigabit,$10.848 hourly,$7.388 hourly,$7.388 hourly,$3.254400 hourly,$3.254400 hourly,60000 GB                 (8 * 7500 GB NVMe SSD),64-bit,AWS
C5N 18xlarge,c5n.18xlarge,72 vCPUs,192.0 GiB,C5N,100 Gigabit,$3.888 hourly,$2.449 hourly,$2.449 hourly,$1.165900 hourly,$1.536000 hourly,EBS only,64-bit,AWS
M5 General Purpose 16xlarge,m5d.16xlarge,64 vCPUs,256.0 GiB,M5,20 Gigabit,$3.616 hourly,$2.278 hourly,$2.278 hourly,$2.211200 hourly,$2.599400 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
M4 General Purpose Large,m4.large,2 vCPUs,8.0 GiB,M4,Moderate,$0.1 hourly,$0.062 hourly,$0.062 hourly,$0.038300 hourly,$0.043400 hourly,EBS only,64-bit,AWS
T3 Medium,t3.medium,2 vCPUs                                                         for a                   4h 48m                   burst,4.0 GiB,T3,Up to 5 Gigabit,$0.0416 hourly,$0.0261 hourly,$0.0261 hourly,$0.012500 hourly,$0.012500 hourly,EBS only,64-bit,AWS
H1 Quadruple Extra Large,h1.4xlarge,16 vCPUs,64.0 GiB,H1,Up to 10 Gigabit,$0.936 hourly,$0.636 hourly,$0.636 hourly,$0.280800 hourly,$0.329900 hourly,4000 GB                 (2 * 2000 GB HDD),64-bit,AWS
X1E Extra Large,x1e.xlarge,4 vCPUs,122.0 GiB,X1E,Up to 10 Gigabit,$0.834 hourly,$0.514 hourly,$0.514 hourly,$0.250200 hourly,$0.250200 hourly,120 GB                 SSD,64-bit,AWS
X2IEZN 6xlarge,x2iezn.6xlarge,24 vCPUs,768.0 GiB,X2IEZN,50 Gigabit,$5.004 hourly,$3.0807 hourly,$3.0807 hourly,$1.501200 hourly,$1.501200 hourly,EBS only,64-bit,AWS
C6I Double Extra Large,c6i.2xlarge,8 vCPUs,16.0 GiB,C6I,Up to 12.5 Gigabit,$0.34 hourly,$0.22491 hourly,$0.22491 hourly,$0.136000 hourly,$0.240700 hourly,EBS only,64-bit,AWS
G4DN Eight Extra Large,g4dn.8xlarge,32 vCPUs,128.0 GiB,G4DN,50 Gigabit,$2.176 hourly,$1.371 hourly,$1.371 hourly,$0.652800 hourly,$0.652800 hourly,900 GB                 NVMe SSD,64-bit,AWS
M5 General Purpose Large,m5.large,2 vCPUs,8.0 GiB,M5,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.06 hourly,$0.039500 hourly,$0.041700 hourly,EBS only,64-bit,AWS
C5 High-CPU Quadruple Extra Large,c5.4xlarge,16 vCPUs,32.0 GiB,C5,Up to 10 Gigabit,$0.68 hourly,$0.428 hourly,$0.428 hourly,$0.265500 hourly,$0.341500 hourly,EBS only,64-bit,AWS
C4 High-CPU Large,c4.large,2 vCPUs,3.75 GiB,C4,Moderate,$0.1 hourly,$0.063 hourly,$0.063 hourly,$0.031600 hourly,$0.040800 hourly,EBS only,64-bit,AWS
R5D Extra Large,r5d.xlarge,4 vCPUs,32.0 GiB,R5D,Up to 10 Gigabit,$0.288 hourly,$0.181 hourly,$0.181 hourly,$0.080500 hourly,$0.106000 hourly,150 GB                 NVMe SSD,64-bit,AWS
M4 General Purpose Quadruple Extra Large,m4.4xlarge,16 vCPUs,64.0 GiB,M4,High,$0.8 hourly,$0.4956 hourly,$0.4956 hourly,$0.308900 hourly,$0.422200 hourly,EBS only,64-bit,AWS
M5 General Purpose Large,m5d.large,2 vCPUs,8.0 GiB,M5,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.071 hourly,$0.034400 hourly,$0.039600 hourly,75 GB                 NVMe SSD,64-bit,AWS
M6I Eight Extra Large,m6i.8xlarge,32 vCPUs,128.0 GiB,M6I,12.5 Gigabit,$1.536 hourly,$1.01606 hourly,$1.01606 hourly,$0.580400 hourly,$0.807600 hourly,EBS only,64-bit,AWS
X2IEZN Double Extra Large,x2iezn.2xlarge,8 vCPUs,256.0 GiB,X2IEZN,Up to 25 Gigabit,$1.668 hourly,$1.0269 hourly,$1.0269 hourly,$0.500400 hourly,$0.500400 hourly,EBS only,64-bit,AWS
R5 Double Extra Large,r5.2xlarge,8 vCPUs,64.0 GiB,R5,Up to 10 Gigabit,$0.504 hourly,$0.318 hourly,$0.318 hourly,$0.194300 hourly,$0.277200 hourly,EBS only,64-bit,AWS
C5N 9xlarge,c5n.9xlarge,36 vCPUs,96.0 GiB,C5N,50 Gigabit,$1.944 hourly,$1.225 hourly,$1.225 hourly,$0.598000 hourly,$0.881100 hourly,EBS only,64-bit,AWS
C5 High-CPU 24xlarge,c5d.24xlarge,96 vCPUs,192.0 GiB,C5,25 Gigabit,$4.608 hourly,$2.903 hourly,$2.903 hourly,$1.664800 hourly,$1.974700 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
M6I Metal,m6i.metal,128 vCPUs,512.0 GiB,M6I,50 Gigabit,$6.144 hourly,$4.06426 hourly,$4.06426 hourly,$2.285200 hourly,$2.285200 hourly,EBS only,64-bit,AWS
M5 General Purpose Double Extra Large,m5d.2xlarge,8 vCPUs,32.0 GiB,M5,Up to 10 Gigabit,$0.452 hourly,$0.285 hourly,$0.285 hourly,$0.228700 hourly,$0.266600 hourly,300 GB                 NVMe SSD,64-bit,AWS
M4 General Purpose Deca Extra Large,m4.10xlarge,40 vCPUs,160.0 GiB,M4,10 Gigabit,$2 hourly,$1.239 hourly,$1.239 hourly,$0.723500 hourly,$0.858500 hourly,EBS only,64-bit,AWS
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,16 vCPUs,512.0 GiB,X2IEZN,Up to 25 Gigabit,$3.336 hourly,$2.0538 hourly,$2.0538 hourly,$1.000800 hourly,$1.000800 hourly,EBS only,64-bit,AWS
C5 High-CPU Large,c5d.large,2 vCPUs,4.0 GiB,C5,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.06 hourly,$0.032400 hourly,$0.034400 hourly,50 GB                 NVMe SSD,64-bit,AWS
C6I Quadruple Extra Large,c6i.4xlarge,16 vCPUs,32.0 GiB,C6I,Up to 12.5 Gigabit,$0.68 hourly,$0.44982 hourly,$0.44982 hourly,$0.277300 hourly,$0.338300 hourly,EBS only,64-bit,AWS
R5D Double Extra Large,r5d.2xlarge,8 vCPUs,64.0 GiB,R5D,Up to 10 Gigabit,$0.576 hourly,$0.363 hourly,$0.363 hourly,$0.215100 hourly,$0.299900 hourly,300 GB                 NVMe SSD,64-bit,AWS
R5D Metal,r5d.metal,96 vCPUs,768.0 GiB,R5D,25 Gigabit,$6.912 hourly,$4.355 hourly,$4.355 hourly,$1.710000 hourly,$1.710000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
C6I 16xlarge,c6i.16xlarge,64 vCPUs,128.0 GiB,C6I,25 Gigabit,$2.72 hourly,$1.79928 hourly,$1.79928 hourly,$1.201100 hourly,$1.618900 hourly,EBS only,64-bit,AWS
X1 Extra High-Memory 32xlarge,x1.32xlarge,128 vCPUs,1952.0 GiB,X1,25 Gigabit,$13.338 hourly,$8.219 hourly,$8.219 hourly,$4.001400 hourly,$4.031800 hourly,3840 GB                 (2 * 1920 GB SSD),64-bit,AWS
C5N Double Extra Large,c5n.2xlarge,8 vCPUs,21.0 GiB,C5N,Up to 25 Gigabit,$0.432 hourly,$0.272 hourly,$0.272 hourly,$0.129500 hourly,$0.245700 hourly,EBS only,64-bit,AWS
D3EN Extra Large,d3en.xlarge,4 vCPUs,16.0 GiB,D3EN,Up to 25 Gigabit,$0.526 hourly,$0.331 hourly,$0.331 hourly,$0.157800 hourly,$0.157800 hourly,27960 GB                 (2 * 13980 GB HDD),64-bit,AWS
C6I Large,c6i.large,2 vCPUs,4.0 GiB,C6I,Up to 12.5 Gigabit,$0.085 hourly,$0.05623 hourly,$0.05623 hourly,$0.034000 hourly,$0.034100 hourly,EBS only,64-bit,AWS
M5 General Purpose Metal,m5.metal,96 vCPUs,384.0 GiB,M5,25 Gigabit,$4.608 hourly,$2.903 hourly,$2.903 hourly,$1.632300 hourly,$1.870800 hourly,EBS only,64-bit,AWS
M5 General Purpose 12xlarge,m5.12xlarge,48 vCPUs,192.0 GiB,M5,10 Gigabit,$2.304 hourly,$1.452 hourly,$1.452 hourly,$0.963800 hourly,$1.137200 hourly,EBS only,64-bit,AWS
P3 High Performance GPU 16xlarge,p3.16xlarge,64 vCPUs,488.0 GiB,P3,25 Gigabit,$24.48 hourly,$16.708 hourly,$16.708 hourly,$7.344000 hourly,$10.555600 hourly,EBS only,64-bit,AWS
R5D Quadruple Extra Large,r5d.4xlarge,16 vCPUs,128.0 GiB,R5D,Up to 10 Gigabit,$1.152 hourly,$0.726 hourly,$0.726 hourly,$0.363600 hourly,$0.466700 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
M6I Quadruple Extra Large,m6i.4xlarge,16 vCPUs,64.0 GiB,M6I,Up to 12.5 Gigabit,$0.768 hourly,$0.50803 hourly,$0.50803 hourly,$0.297600 hourly,$0.368800 hourly,EBS only,64-bit,AWS
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,16 vCPUs,32.0 GiB,C5,Up to 10 Gigabit,$0.768 hourly,$0.484 hourly,$0.484 hourly,$0.294500 hourly,$0.427600 hourly,400 GB                 NVMe SSD,64-bit,AWS
R5 24xlarge,r5.24xlarge,96 vCPUs,768.0 GiB,R5,25 Gigabit,$6.048 hourly,$3.81 hourly,$3.81 hourly,$1.797600 hourly,$2.551800 hourly,EBS only,64-bit,AWS
